Country Name,Country Code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Iran, Islamic Rep.",IRN,24179063,25135218,26114379,27066646,27926880,28651608,29216027,29640649,29983573,30328766,30736784,31226421,31778753,32370728,32964263,33530872,34069272,34588223,35080893,35540422,35963531,36344026,36686401,37011518,37348101,37716500,38123761,38562955,39023186,39487240,39941752,40384162,
Iraq,IRQ,7877895,8051366,8224968,8404971,8599448,8814268,9051576,9310173,9588340,9882806,10190753,10512317,10847199,11191469,11540175,11889713,12240119,12592385,12945368,13297990,13650646,14000368,14350186,14713750,15109280,15549001,16038973,16573279,17137311,17709899,18275556,18829502,
Iceland,ISL,121395,122238,123545,125458,126992,127948,129415,131031,132343,133467,134147,134805,135843,137226,138833,140722,142600,143907,144958,146330,148787,152490,156596,159730,160410,160223,160654,161369,162712,164360,165975,167676,
Israel,ISR,2115455,2148990,2184422,2220791,2257510,2325683,2465347,2546109,2608324,2670976,2738702,2808215,2877352,2942944,3018459,3099186,3173341,3238523,3298389,3358131,3418710,3480361,3543293,3607471,3695838,3765715,3838416,3912997,3990175,4071104,4156060,4242203,
Italy,ITA,27553309,27554606,27553288,27559494,27571687,27586142,27596855,27607246,27615771,27612882,27604684,27603141,27608272,27608714,27610747,27627304,27654976,27715003,27859402,28057120,28203841,28287168,28420657,28595761,28714416,28797153,28848347,28933881,29283998,29569796,29558567,29513776,
Jamaica,JAM,1161827,1172172,1178904,1183601,1188527,1195348,1204500,1215497,1227948,1241168,1254588,1268258,1282261,1296014,1308775,1320063,1329569,1337464,1344346,1351087,1358304,1366188,1374518,1383021,1391270,1398923,1405940,1412410,1418370,1423896,1429050,1433816,
Jordan,JOR,1524536,1584557,1644180,1707460,1780030,1865300,1965644,2078030,2193833,2301174,2391752,2463204,2518877,2563282,2603445,2645206,2689335,2736275,2791223,2860381,2948193,3055456,3181103,3324984,3486210,3662929,3855907,4061971,4270294,4466756,4640975,4789199,
Japan,JPN,59590692,59941742,60221118,60460567,60690305,60880390,61053609,61190318,61326344,61518591,61733877,61867036,61988550,62129262,62214263,62290265,62413110,62531609,62639302,62634487,62614707,62628868,62675761,62682056,62652070,62643603,62510713,62396406,62293393,62197978,62118491,62032385,
Kazakhstan,KAZ,7452092,7553606,7657115,7750761,7885189,7936115,7987171,7981206,7926006,7807094,7664365,7539294,7408900,7269250,7189149,7159857,7144314,7145133,7172665,7227529,7297137,7379825,7470052,7566948,7774280,7889656,8007480,8124567,8245374,8370488,8495553,8619109,
Kenya,KEN,9786624,10148580,10516881,10890468,11268205,11649236,12033392,12420588,12810205,13201614,13594673,13989228,14386255,14788200,15198300,15619138,16051548,16495722,16952794,17423857,17909624,18410616,18926677,19456847,19999668,20553886,21119173,21695274,22281086,22875343,23477019,24085548,
Kyrgyz Republic,KGZ,1944694,1983842,2024416,2063244,2109737,2153630,2192024,2220351,2223735,2225389,2249769,2284856,2319476,2356116,2392217,2421959,2446533,2470884,2498651,2530173,2558984,2585553,2608266,2630810,2660994,2692336,2726126,2773855,2832000,2891710,2953398,3016345,
Cambodia,KHM,3684615,3814502,3937873,4059825,4189659,4333592,4491742,4659371,4832276,5004685,5172106,5333417,5488806,5636820,5776138,5906072,6025738,6135766,6239027,6339546,6440468,6542647,6645934,6751205,6859193,6970354,7085258,7203824,7324932,7446946,7568579,7689442,
Kiribati,KIR,31685,32442,33297,34193,35052,35821,36473,37029,37522,38011,38525,39077,39661,40276,40919,41593,42296,43023,43794,44608,45490,46435,47438,48471,49508,50532,51523,52505,53470,54434,55411,56398,
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,20439193,20644939,20851803,21060433,21274032,21489506,21708794,21941585,22171436,22400384,22629992,22847686,23062176,23227384,23391075,23586048,23767110,23904805,24028909,24123278,24171920,24294945,24412339,24591830,24712010,24829133,25015049,25141593,25251388,25405813,25535535,25646552,
Kuwait,KWT,982845,1037124,1097967,1153810,1188843,1193033,1160057,,,,935207,950263,1000146,1071057,1142109,1198505,1235947,1260334,1279274,1304433,1344279,1399616,1467217,1546489,1635912,1733584,1840504,1955102,2069644,2173983,2260983,2327353,
Latin America & Caribbean (excluding high income),LAC,190879098,194750937,198608656,202458365,206310436,210171038,214039892,217909260,221769146,225606328,229409972,233179263,236913446,240602387,244234029,247801546,251298234,254730469,258120681,261500153,264891230,268300237,271720337,275144457,278560398,281957668,285334704,288690315,292014100,295293439,298518330,301683235,
Lao PDR,LAO,1838004,1892606,1949879,2009077,2069327,2129857,2190312,2250372,2309335,2366432,2421122,2473242,2522837,2569899,2614530,2656947,2696807,2734490,2771783,2811067,2853960,2901435,2952836,3006121,3058323,3107387,3152454,3194423,3235013,3276810,3321586,3369884,
Lebanon,LBN,1323306,1322901,1319333,1316505,1319850,1333021,1358537,1394733,1435960,1474155,1504024,1522084,1531330,1540620,1562439,1605148,1674024,1764815,1864787,1955860,2025933,2067312,2086105,2100569,2136682,2211689,2333019,2490677,2663227,2820137,2939282,3014068,
Liberia,LBR,1092213,1096724,1091218,1078161,1061280,1044010,1025368,1006420,995066,1001406,1031949,1091279,1175619,1272770,1365450,1441421,1495707,1532573,1560295,1591496,1635088,1693667,1763560,1839977,1915662,1985381,2047823,2104945,2158736,2212393,2268289,2326847,
Libya,LBY,2060026,2123613,2181362,2234906,2286817,2338934,2391886,2444940,2496971,2546288,2591817,2633037,2670690,2706382,2742384,2780259,2820290,2861771,2904057,2946125,2987001,3027529,3067520,3103741,3131928,3149557,3154590,3149256,3140497,3137931,3148311,3174285,
St. Lucia,LCA,61996,63100,64309,65559,66761,67850,68806,69645,70417,71210,72064,73005,74014,75036,76001,76861,77578,78185,78750,79370,80096,80962,81943,82955,83894,84687,85304,85772,86142,86464,86812,87173,
Latin America & Caribbean,LCN,201011093,205014709,209004413,212986242,216971914,220969438,224974329,228980342,232980693,236958020,240898548,244804982,248669304,252476880,256220924,259893008,263489479,267018688,270503726,273976880,277460456,280958707,284466164,287977758,291480762,294964405,298414285,301839838,305233504,308573533,311856386,315078137,
Least developed countries: UN classification,LDC,222711092,228624467,234703710,240987670,247528390,254357056,261499578,268929830,276564870,284289522,292023919,299727496,307430877,315212303,323186838,331434199,339993978,348831287,357863470,366970046,376071466,385132860,394202101,403382182,412819326,422617437,432812933,443371189,454238263,465329318,476581288,487978495,
Low income,LIC,139987021,143544440,147257084,151150059,155252300,159580472,164157215,168969706,173956507,179031611,184136479,189244619,194383200,199613310,205023625,210677942,216600895,222772147,229156918,235700597,242365842,249140468,256044707,263112072,270390744,277914202,285693179,293713608,301953734,310380845,318970091,327714486,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,8039849,8159095,8279254,8397684,8512945,8622920,8728671,8829508,8923224,9006502,9078069,9135940,9181536,9220352,9259737,9304750,9356770,9406549,9455446,9503466,9550543,9597795,9644891,9692258,9740890,9790269,9840974,9893609,9950588,10022092,10100222,10201130,
Lower middle income,LMC,871586601,892402265,913469805,934692463,955997099,978163013,999334830,1020534301,1041649306,1062578255,1083447697,1104363988,1125315207,1146292060,1167267548,1188298694,1209385572,1230514472,1251742940,1273060683,1294418673,1315815742,1337282836,1358810082,1380383665,1402117186,1423839654,1445415405,1467004479,1488575535,1510233658,1531894495,
Low & middle income,LMY,1959489692,1999515768,2040728617,2082366003,2123843496,2165658442,2205726720,2245116370,2284145933,2322826629,2361274901,2399461397,2437712756,2475637599,2513170469,2550348937,2587160071,2623858083,2660726806,2697707694,2734822423,2771901186,2808939869,2846305426,2884222960,2922573894,2961359089,3000641423,3040353860,3080300466,3120337657,3160583423,
Lesotho,LSO,694650,710606,726292,741988,758063,774723,792182,810185,827846,843995,857830,868989,877840,885143,892023,899304,907274,915770,924626,933524,942245,950777,959337,968214,977808,988402,1000093,1012782,1026288,1040346,1054721,1069379,
Late-demographic dividend,LTE,863868732,877100410,891131245,905249521,918986743,931929176,944037014,954015097,964595558,974928663,985898511,995663117,1005297060,1014578570,1023260810,1031189983,1038769041,1045924691,1052957670,1060006876,1067172969,1074312829,1081339346,1088478486,1095769599,1102758555,1109767892,1116882962,1124002424,1131108698,1138099134,1145170425,
Lithuania,LTU,1673615,1690815,1709598,1728886,1743328,1749804,1752186,1749101,1739186,1725251,1710003,1694964,1680310,1665913,1651822,1637904,1622163,1606951,1591687,1571499,1543482,1516118,1495079,1476717,1457813,1425740,1392985,1374292,1360879,1349839,1337724,1323066,
Luxembourg,LUX,178180,179115,180524,182156,184248,186834,189550,192232,194938,197708,200623,203502,206212,208946,211911,214883,217532,219873,222621,225900,229542,233435,237321,241913,246819,251832,258046,264937,271759,278794,285878,292849,
Latvia,LVA,1191062,1203051,1218336,1233717,1242037,1240830,1233806,1214303,1187131,1164045,1144948,1130504,1118481,1107753,1098703,1087941,1073577,1060699,1049967,1038062,1026453,1016673,1008031,997190,980697,960516,943407,932183,922767,914627,907619,900102,
"Macao SAR, China",MAC,142953,148451,154149,159794,165109,169895,174048,177606,180764,183801,186935,190214,193612,197174,200967,205007,209341,213971,218871,223972,229246,234649,240183,245858,251696,257686,263843,270112,276375,282456,288253,293701,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,11230193,11477237,11718255,11953805,12185144,12413013,12637698,12858102,13071932,13276227,13469051,13649868,13820016,13981902,14138947,14293982,14448500,14603067,14758566,14915667,15075316,15237078,15402404,15576278,15765072,15972815,16201695,16448955,16707453,16967124,17220411,17464677,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,1695262,1711833,1727953,1742145,1753386,1761615,1766352,1768075,1766368,1762258,1755362,1752624,1746985,1747103,1745063,1742022,1738366,1734367,1729477,1725421,1721836,1718148,1715635,1713988,1713262,1712551,1712050,1711867,1711068,1709400,1707490,1705482,
Madagascar,MDG,5034746,5176996,5322707,5472828,5628628,5791123,5960571,6137057,6321287,6514029,6715767,6926847,7146999,7375228,7610082,7850485,8096108,8347054,8603151,8864316,9130494,9401628,9677686,9958739,10244897,10536295,10832931,11135017,11443267,11758638,12081795,12412982,
Maldives,MDV,98697,101943,105147,108300,111395,111764,116032,119291,123070,124310,129117,132391,133168,136594,141278,144797,148694,152411,157394,163020,169198,176962,186906,195316,195689,201000,208055,214059,220014,225799,231437,236896,
Middle East & North Africa,MEA,111632747,115269821,118959008,122640885,126238785,130730906,134183476,136335471,139525982,142632523,146614487,149615658,152601967,155574601,158609886,161734751,164944066,168243822,171670853,175268966,179061465,183061904,187250663,191578028,195982426,200358883,204711342,209038734,213324446,217556613,221726272,225815093,
Mexico,MEX,38517250,39290662,40063495,40842626,41636639,42450710,43288266,44145043,45008867,45862758,46694154,47502195,48290058,49054697,49793441,50506622,51188834,51845960,52503480,53195536,53945653,54763986,55641109,56556588,57479951,58388317,59275312,60145499,60999975,61843003,62677416,63501507,
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,1819502671,1855971328,1893471533,1931215944,1968591196,2006077970,2041569505,2076146664,2110189426,2143795018,2177138422,2210216778,2243329556,2276024289,2308146844,2339670995,2370559176,2401085936,2431569888,2462007097,2492456581,2522760718,2552895162,2583193354,2613832216,2644659692,2675665910,2706927815,2738400126,2769919621,2801367566,2832868937,
"Macedonia, FYR",MKD,1000511,1002730,1004304,1005144,1005080,1004097,1002046,999221,996459,994894,995289,998032,1002792,1008700,1014523,1019340,1022895,1025435,1027170,1028520,1029764,1030935,1031916,1032785,1033622,1034493,1035428,1036418,1037458,1038503,1039509,1040489,
Mali,MLI,3892622,3949000,3998713,4048214,4106507,4180009,4271485,4379011,4498610,4624087,4751074,4878520,5008421,5143144,5286201,5440203,5605345,5780790,5966828,6163582,6370827,6589363,6818462,7054635,7293185,7530906,7766276,8000632,8237292,8481112,8735641,9001951,
Malta,MLT,165615,168627,169946,171458,173225,175018,179893,181845,183768,185617,187072,188506,190178,191662,193004,194379,195887,197337,198569,199829,201031,201696,202335,203634,205221,206365,207483,209415,211756,214103,216636,219353,
Myanmar,MMR,18193905,18557322,18911660,19253141,19577387,19881827,20163824,20425448,20674732,20922879,21177838,21442122,21713005,21986719,22257240,22519794,22775369,23024751,23262806,23483069,23681862,23856079,24009568,24154226,24306439,24477977,24673013,24888192,25118500,25355612,25593149,25830068,
Middle East & North Africa (excluding high income),MNA,98924783,101945307,105014101,108088627,111115607,115057762,117941114,120730111,123443358,126112142,128761203,131395019,134010857,136591358,139172490,141763285,144372396,147004655,149660395,152337428,155036171,157752853,160494324,163289493,166162809,169133010,172213917,175390511,178624200,181861603,185064092,188212623,
Montenegro,MNE,298376,300109,301036,301411,301613,301917,302428,303055,303636,303926,303765,303105,302063,300835,299678,298802,299621,300427,301264,301527,301837,302238,302807,303575,304468,305220,305668,305995,306334,306657,306861,307213,
Mongolia,MNG,948150,975051,1003237,1031150,1056646,1078255,1095368,1108545,1118997,1128521,1138464,1149257,1160613,1172368,1184112,1195611,1206951,1218445,1230378,1243110,1256930,1271821,1287810,1305236,1324517,1345895,1369528,1395092,1421739,1448319,1473946,1498288,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,6329048,6332518,6298569,6259333,6258796,6327646,6479446,6702947,6973535,7254171,7518007,7757577,7981574,8198650,8423353,8666206,8928754,9206673,9497813,9798476,10106005,10420109,10741979,11072216,11411781,11761394,12121181,12490945,12870734,13260534,13660349,14070258,
Mauritania,MRT,882081,907115,932678,958740,985244,1012193,1039493,1067302,1096167,1126813,1159731,1195162,1232930,1272500,1313087,1354126,1395507,1437423,1480021,1523557,1568251,1614015,1660866,1709219,1759633,1812441,1867842,1925594,1985104,2045516,2106195,2166898,
Mauritius,MUS,506528,511054,515473,519532,523937,527992,533937,541116,547550,555094,559549,564789,571240,576555,583281,588549,592920,596917,601249,605075,608714,611590,614412,616659,618313,619791,620782,622486,623793,624774,625354,625417,
Malawi,MWI,3543187,3746833,3989253,4242421,4467466,4637663,4741390,4790192,4808932,4834233,4892641,4992442,5125580,5282668,5448012,5610359,5767768,5925083,6085620,6254676,6435982,6630299,6835873,7050872,7272524,7498804,7729173,7964173,8204206,8450006,8702133,8960598,
Malaysia,MYS,7886114,8120440,8375454,8643417,8913302,9177164,9431859,9679744,9925078,10174528,10432744,10700867,10976505,11256503,11536282,11812506,12084283,12352624,12618472,12883464,13148878,13413776,13677685,13942891,14212429,14487862,14770991,15059565,15346226,15620993,15876925,16110866,
North America,NAC,129578284,130766680,131955116,133166071,134514078,136090084,137952520,139910422,141807848,143599007,145345087,147108652,148942173,150714608,152475669,154213815,155815644,157325055,158761948,160301812,161841309,163419500,165014602,166632640,168173849,169667997,171020717,172424133,173766459,175176482,176529589,177895696,
Namibia,NAM,556012,578287,604342,632716,661333,688666,714036,737773,760598,783689,807816,833290,859512,885202,908608,928511,944581,957434,967985,977648,987547,997850,1008587,1020634,1035036,1052445,1073342,1097476,1123938,1151357,1178737,1205773,
New Caledonia,NCL,79046,80438,81973,83522,85150,87183,89486,91795,94238,96792,98959,100771,102585,104368,106162,107983,109830,111694,113260,114647,116155,118301,120059,122374,124139,126814,128845,131270,133113,135440,137794,140171,
Niger,NER,3385901,3480374,3578125,3681033,3791482,3911277,4041169,4181095,4330990,4490446,4659107,4837426,5025499,5222093,5425501,5634639,5849183,6069886,6298139,6535921,6784788,7045342,7317654,7602210,7899405,8209605,8533333,8870996,9222649,9588192,9967703,10361403,
Nigeria,NGA,42021715,43134319,44290784,45483232,46698873,47928866,49172404,50434567,51719359,53032744,54379688,55762566,57182363,58641270,60141332,61684869,63273286,64909402,66598565,68347162,70159953,72038832,73983514,75993600,78067686,80204205,82403868,84665806,86984833,89354137,91768730,94226757,
Nicaragua,NIC,1848853,1890552,1931146,1971456,2012618,2055401,2100073,2146250,2193110,2239490,2284519,2328009,2370124,2410719,2449709,2487089,2522707,2556690,2589620,2622320,2655390,2689061,2723220,2757742,2792353,2826854,2861241,2895595,2929864,2964008,2997973,3031765,
Netherlands,NLD,7172398,7209731,7253886,7300007,7343836,7395215,7455151,7513864,7568854,7616824,7656126,7692331,7732175,7779821,7831738,7888406,7949248,8001686,8041440,8071548,8092628,8107946,8128046,8162204,8206599,8250868,8291155,8323328,8349342,8381304,8421098,8463503,
Norway,NOR,2053006,2060026,2069642,2080940,2089721,2097050,2107099,2119278,2131933,2144241,2155741,2167305,2179930,2193889,2209813,2224846,2236487,2248751,2262276,2276525,2293747,2314882,2342326,2375610,2409875,2444129,2479954,2516549,2550797,2583169,2612219,2637512,
Nepal,NPL,8352599,8525003,8693161,8869033,9068977,9303380,9578065,9885846,10208157,10518937,10799491,11041948,11251603,11438792,11619893,11806324,12002495,12203105,12398497,12574637,12722379,12838036,12927712,13003914,13084255,13181560,13300101,13436585,13587023,13744396,13903373,14063302,
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,1608211,1605744,1617194,1619180,1624990,1638887,1720042,1738667,1759589,1783855,1810195,1838286,1861136,1875873,1883874,1893349,1903193,1935416,1973177,2002295,2025036,2050357,2070484,2089325,2111545,2136257,2153525,2166124,2183432,2217108,2259704,2307565,
OECD members,OED,504286261,508164326,512014595,515931553,520103544,524567431,529346848,534214259,538878961,543318934,547680569,551939551,556181695,560269855,564370101,568384840,572575510,576797358,581031457,585292597,589549517,593974679,598532262,603317745,607719902,611833327,615058021,618993540,623062925,627307905,631517527,635875321,
Oman,OMN,809902,846827,881310,916864,958364,1008693,1070552,1141250,1211827,1269929,1307243,1320526,1314026,1296249,1279546,1273251,1280755,1300738,1332217,1372580,1420353,1474270,1536488,1612726,1710578,1834555,1986360,2161559,2350852,2541408,2723156,2893546,
Other small states,OSS,7617550,7832173,8055917,8280746,8499616,8702274,8898690,9072626,9233907,9393466,9554758,9718983,9887153,10063019,10256466,10457598,10659899,10872056,11103748,11369036,11677698,12034757,12434810,12858429,13272052,13673995,14052511,14414156,14762057,15103326,15445007,15785170,
Pakistan,PAK,47991428,49531900,51097513,52675721,54251517,55814383,57356551,58880120,60396809,61924396,63475182,65054264,66656001,68269294,69877970,71471141,73047159,74612533,76174752,77744714,79331871,80935686,82557936,84212990,85918748,87686776,89522742,91419836,93361286,95323019,97286333,99244837,
Panama,PAN,1124175,1148819,1173542,1198417,1223548,1249017,1274835,1301000,1327579,1354640,1382241,1410413,1439112,1468224,1497571,1527031,1556556,1586171,1615911,1645838,1676002,1706363,1736917,1767700,1798774,1830167,1861891,1893877,1926036,1958189,1990221,2022071,
Peru,PER,9772323,9996098,10222029,10449518,10677748,10905861,11133819,11360951,11584987,11803046,12013119,12214465,12407670,12593733,12774318,12950839,13123734,13293333,13460954,13628171,13796306,13965640,14136633,14310866,14490184,14675723,14868269,15067036,15269590,15472480,15673109,15870546,
Philippines,PHL,27462173,28207096,28966374,29736511,30513023,31292547,32073247,32855372,33640221,34430104,35226556,36029240,36836805,37648515,38463388,39280387,40099508,40919999,41739219,42553846,43361571,44161117,44953201,45739976,46524725,47309835,48095910,48882270,49668537,50453938,51237880,52020122,
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,1932438,1983256,2034534,2086467,2139357,2193467,2248813,2305437,2363673,2423923,2486448,2551408,2618687,2688005,2758942,2831171,2904548,2979111,3054839,3131806,3210005,3289416,3369880,3451168,3532949,3614995,3697201,3779582,3862203,3945258,4028824,4112925,
Poland,POL,18126959,18251255,18352953,18426145,18489203,18558108,18620290,18673566,18716952,18751831,18772033,18780543,18786623,18786515,18777263,18573611,18558809,18539680,18516409,18495481,18478569,18459673,18443894,18441750,18450123,18393520,18399464,18395639,18380992,18364057,18349081,18328230,
Pre-demographic dividend,PRE,181462944,186282973,191263018,196459798,201941842,207752435,213935852,220469843,227250149,234128898,241005800,247840352,254682954,261635729,268846365,276422767,284404544,292763423,301458281,310420148,319601986,328990170,338612695,348512520,358750374,369367162,380379303,391765759,403484180,415473474,427688676,440115835,
Puerto Rico,PRI,1649833,1664086,1676907,1688834,1700664,1712909,1722935,1732598,1746239,1761698,1777167,1796300,1812190,1821754,1829987,1834098,1836970,1838195,1838251,1837773,1834642,1826843,1816501,1806414,1797137,1788473,1768113,1746904,1726963,1698951,1669313,1639656,
"Korea, Dem. People?s Rep.",PRK,9123619,9269210,9412647,9556531,9704658,9859248,10021816,10189995,10357423,10515412,10657909,10782071,10890108,10987239,11081255,11177727,11278572,11381792,11484368,11581622,11670344,11749679,11821300,11887529,11951756,12016469,12082393,12148880,12215432,12281037,12344958,12407156,
Portugal,PRT,4831467,4835619,4833683,4827873,4820155,4809308,4798327,4795112,4801793,4815630,4833192,4852005,4874099,4899342,4928385,4965375,5004038,5035907,5058740,5072460,5079962,5083325,5084182,5080000,5072286,5062088,5042279,5009660,4970936,4934742,4907358,4887449,
Paraguay,PRY,1855900,1909598,1964003,2018918,2074186,2129651,2185135,2240540,2295943,2351502,2407254,2463183,2519092,2574687,2629581,2683481,2736359,2788182,2838708,2887613,2934746,2979932,3023367,3065695,3107810,3150393,3193662,3237467,3281566,3325559,3369123,3412220,
West Bank and Gaza,PSE,,,,,,1001151,1047242,1095458,1145881,1198614,1253747,1311390,1371652,1407339,1443928,1481443,1519921,1559376,1599844,1641336,1683887,1727514,1772246,1824082,1877602,1932831,1991644,2052434,2114621,2178101,2242719,2308315,
Pacific island small states,PSS,773916,785439,795078,803852,813181,824057,836850,851167,866348,881414,895625,908860,921354,933194,944535,955535,966159,976431,986720,997527,1009223,1021959,1035615,1049925,1064389,1078687,1092708,1106597,1120417,1134317,1148444,1162771,
Post-demographic dividend,PST,457389497,459988860,462626827,465371932,468321998,471379539,474529507,477942352,481234262,484125259,486881271,489547901,492206341,494678815,497190643,499750573,502363662,504979717,507641442,510393646,513091387,515927182,518896415,522100389,524848589,527372329,528882131,531227839,533679096,536248226,538795875,541456429,
French Polynesia,PYF,91650,94120,96518,98843,101032,103079,104934,106646,108286,109970,111779,113749,115844,117993,120119,122142,124065,125875,127591,129204,130732,132175,133516,134772,135928,136995,137944,138806,139644,140548,141577,142770,
Qatar,QAT,248106,267059,283815,298119,309841,319023,325695,330178,333165,335617,338479,343168,350538,360400,372213,386342,400742,417563,446227,499196,584407,705630,857419,1026773,1195380,1349478,1484993,1604075,1706821,1795258,1871167,1933363,
Romania,ROU,11222315,11273453,11318034,11371171,11420987,11437865,11334120,11225804,11202844,11178009,11146366,11104813,11062971,11030023,11002834,10979181,10818435,10614441,10530862,10463708,10391601,10322017,10162188,9985921,9895407,9830221,9776659,9729055,9689792,9651018,9603575,9548407,
Russian Federation,RUS,66796824,67390030,67984958,68551791,69067810,69425969,69648047,69722997,69668677,69592381,69609637,69496597,69358697,69209577,68949695,68603100,68244995,67855763,67468376,67117967,66788368,66502263,66327769,66248730,66234248,66247644,66303337,66437221,66611750,66790123,66944613,67074268,
Rwanda,RWA,3013120,3156637,3318806,3467346,3558504,3564804,3467062,3284618,3075373,2920283,2875671,2965041,3166094,3433490,3699443,3914962,4066080,4168849,4240322,4308755,4394719,4501342,4620782,4750059,4883525,5017011,5150399,5285516,5422302,5560871,5701233,5843242,
South Asia,SAS,523027772,535123007,547356373,559738214,572290494,585019267,597931959,610995860,624161673,637359673,650546068,663680004,676760145,689818564,702899398,716024971,729206656,742398560,755525757,768484517,781201583,793645599,805837701,817823417,829673379,841455920,853178424,864820933,876382061,887859971,899236696,910525150,
Saudi Arabia,SAU,7241175,7653229,8057085,8445333,8809855,9144961,9450106,9726926,9975571,10197149,10394929,10565673,10715753,10869792,11060099,11309225,11628652,12010970,12436351,12874884,13304965,13718513,14122305,14527030,14949500,15400635,15882266,16385803,16899223,17405857,17892701,18356534,
Sudan,SDN,8626358,8901440,9175752,9459229,9765520,10103185,10477931,10883612,11302518,11709955,12088657,12430817,12742913,13039336,13341599,13664864,14015338,14387094,14768800,15143538,15499997,15834207,16152854,16468129,16797396,17153256,17539923,17953940,18390843,18843070,19305000,19775707,
Senegal,SEN,3235610,3334331,3436105,3541020,3649306,3760921,3876326,3994859,4114060,4230661,4342556,4448742,4550521,4651007,4754556,4864493,4982097,5106926,5238496,5375667,5517767,5664556,5816863,5976255,6144794,6323796,6513900,6714189,6922433,7135478,7350979,7568133,
Singapore,SGP,1393352,1389021,1406052,1437827,1476917,1533025,1576429,1624944,1667607,1721384,1774064,1845960,1906272,1968708,1980944,2012218,2064239,2080441,2047481,2070695,2117167,2181390,2270925,2391886,2462584,2505008,2557228,2621068,2664765,2700649,2733768,2770103,
Solomon Islands,SLB,139530,143574,147604,151679,155863,160213,164748,169442,174308,179334,184500,189828,195292,200860,206468,212086,217689,223297,228891,234478,240060,245611,251153,256722,262385,268168,274104,280165,286319,292483,298627,304722,
Sierra Leone,SLE,1871786,1928591,1990052,2049517,2098008,2129571,2142158,2139194,2127089,2115136,2110602,2114286,2125753,2149627,2191137,2253351,2339205,2446227,2565206,2683275,2791066,2885198,2968011,3042818,3115345,3189798,3266642,3344352,3422932,3502075,3581568,3661629,
El Salvador,SLV,2413647,2443210,2472781,2502705,2533358,2564895,2597542,2630996,2664201,2695772,2724641,2750515,2773589,2793943,2811807,2827447,2840835,2852064,2861636,2870221,2878350,2886273,2894056,2901916,2910034,2918538,2927559,2937189,2947472,2958409,2969971,2982221,
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,3436082,3478477,3539684,3610180,3674170,3721195,3748297,3762891,3777185,3808123,3867543,3960252,4081758,4223224,4371291,4516198,4655347,4791590,4927142,5066073,5211304,5363188,5520411,5682389,5848183,6017231,6189414,6365394,6546336,6733831,6929043,7132386,
Serbia,SRB,,,,,,3744551,3748268,3772323,3797290,3813270,3757504,3751380,3738043,3720693,3703854,3688621,3678860,3672069,3661168,3650163,3637572,3622640,3608204,3593624,3580006,3566047,3537919,3520319,3502512,3485390,3467649,3448749,
Sub-Saharan Africa (excluding high income),SSA,220963793,227307759,233805294,240459114,247274242,254253029,261405018,268730383,276217369,283853775,291628927,299548474,307628557,315892803,324377414,333108352,341966230,351146952,360624237,370426936,380577785,391086879,401955454,413181502,424758688,436680896,448949532,461564078,474508555,487763624,501313806,515152772,
South Sudan,SSD,2708948,2766077,2816026,2853436,2871579,2867286,2836191,2784065,2730370,2701485,2715917,2782065,2893703,3036782,3189932,3337663,3475066,3607152,3740156,3884113,4045801,4226625,4422263,4626879,4832243,5032249,5224984,5411718,5593464,5772353,5950074,6126467,
Sub-Saharan Africa,SSF,220996716,227340823,233839700,240493544,247308790,254287698,261440145,268765701,276253478,283890902,291666617,299586706,307667207,315932167,324417507,333148763,342006635,351188571,360665378,370467991,380619184,391129426,401998592,413226005,424803640,436727194,448994462,461609092,474553927,487809243,501360100,515199499,
Small states,SST,11228626,11477029,11727647,11975893,12219628,12452085,12684475,12899328,13104542,13308185,13511459,13715188,13921112,14133136,14361503,14596727,14832124,15076392,15339810,15637305,15979242,16370850,16806570,17266690,17717147,18155867,18571006,18969191,19353304,19730147,20106621,20480634,
Sao Tome and Principe,STP,51234,52167,53144,54180,55264,56398,57606,58872,60177,61465,62710,63898,65045,66209,67447,68812,70323,71963,73715,75523,77357,79213,81110,83021,84980,86967,88981,91030,93108,95221,97363,99542,
Suriname,SUR,188904,191703,195113,198955,202972,206949,210849,214669,218354,221856,225121,228111,230830,233361,235829,238326,240870,243453,246061,248684,251303,253931,256567,259216,261882,264561,267239,269925,272592,275222,277796,280298,
